trade_id,pair,strategy,signal_type,entry_time,exit_time,entry_hour,session,confidence,entry_price,exit_price,position_size,risk_amount,pnl_pips,pnl,spread_cost,commission,total_costs,holding_time_minutes,entry_balance,exit_balance,is_winner,day,return_percentage,win_streak
1,USDJPY,News_Trading,SELL,2025-07-08 17:22:48.987560,2025-07-08 17:34:48.987560,0,Asian,0.882865254727448,109.51807117414769,109.57160205615915,5000000.0,40000.0,-535.3088201145844,-50000.0,300.0,100.00000000000001,400.0,12,1000000.0,950000.0,False,1,-5.0,1
2,USDJPY,Scalping_1M,BUY,2025-07-08 18:34:48.987779,2025-07-08 18:37:48.987779,1,Asian,0.9224181692300967,108.56469704757598,110.53893962549627,1900000.0,9500.0,19742.425779202982,475000.0,113.99999999999999,38.0,152.0,3,950000.0,1425000.0,True,1,50.0,2
3,AUDUSD,Breakout_Momentum,SELL,2025-07-08 18:22:48.987899,2025-07-08 19:09:48.987899,1,Asian,0.6859387549918282,1.001523447551513,0.9971227999787353,7125000.0,42750.0,44.006475727775666,30570.86395604016,641.25,142.5,783.75,47,1425000.0,1455570.8639560402,True,1,2.1453237863887833,2
4,AUDUSD,News_Trading,SELL,2025-07-08 18:16:48.988018,2025-07-08 18:44:48.988018,1,Asian,0.8254757141160023,0.987670459938699,1.0269658138660858,7277854.319780201,58222.83455824161,392.95353927386765,285185.29735254776,655.0068887802181,145.55708639560402,800.5639751758222,28,1455570.8639560402,1740756.161308588,True,1,19.592676963693375,2
5,USDJPY,RSI_Extreme,BUY,2025-07-08 19:54:48.988147,2025-07-08 21:27:48.988147,3,Asian,0.7530141902336549,109.19811713805912,112.46075378218352,6963024.645234352,34815.12322617176,32626.36644124404,870378.080654294,417.7814787140611,139.26049290468706,557.0419716187482,93,1740756.161308588,2611134.2419628818,True,1,50.0,2
6,AUDUSD,Mean_Reversion,BUY,2025-07-08 21:20:48.988267,2025-07-09 00:52:48.988267,4,Asian,0.7791183311177733,1.0029535363817832,1.0212544536207977,13055671.209814409,65278.35604907205,183.00917239014473,237494.63447751786,1175.0104088832968,261.1134241962882,1436.123833079585,212,2611134.2419628818,2848628.8764404,True,1,9.095458619507237,2
7,USDJPY,Mean_Reversion,BUY,2025-07-08 20:51:48.988374,2025-07-08 22:57:48.988374,4,Asian,0.7336225684273001,111.4866405893768,111.29784465401785,14243144.382202,71215.72191101,1887.9593535895287,1424314.4382202,854.5886629321199,284.86288764404003,1139.45155057616,126,2848628.8764404,4272943.314660599,True,1,50.0,2
8,USDJPY,Mean_Reversion,BUY,2025-07-08 22:20:48.988501,2025-07-09 02:20:48.988501,5,Asian,0.7284882835259544,109.61983962514503,107.48821926802057,21364716.573303,106823.58286651499,21316.20357124461,2136471.6573302997,1281.8829943981798,427.29433146606004,1709.1773258642397,240,4272943.314660599,6409414.971990899,True,1,50.0,2
9,AUDUSD,News_Trading,SELL,2025-07-08 22:47:48.988624,2025-07-08 23:11:48.988624,5,Asian,0.8068005172681175,0.9862604524478822,0.9949151907681517,32047074.859954495,256376.59887963597,86.54738320269492,273833.86860839825,2884.2367373959046,640.94149719909,3525.1782345949946,24,6409414.971990899,6683248.840599298,True,1,4.272369160134746,2
10,USDJPY,News_Trading,SELL,2025-07-08 23:23:48.988740,2025-07-08 23:50:48.988740,6,Asian_Close,0.8310518289895152,111.78560062389565,112.56860362829231,33416244.20299649,267329.9536239719,7830.030043966582,3341624.420299649,2004.9746521797892,668.3248840599298,2673.299536239719,27,6683248.840599298,10024873.260898946,True,1,50.0,2
11,GBPUSD,Breakout_Momentum,BUY,2025-07-09 01:18:48.988883,2025-07-09 04:00:48.988883,8,London,0.7189804594361762,1.3085570182457855,1.3143444314233328,50124366.30449473,300746.1978269684,-57.87413177547218,-295102.85469728603,4009.949304359579,1002.4873260898947,5012.436630449473,162,10024873.260898946,9729770.40620166,False,1,-2.943706588773609,3
12,EURUSD,Mean_Reversion,SELL,2025-07-09 01:22:48.989002,2025-07-09 05:02:48.989002,8,London,0.6074583631369812,1.091834144151849,1.0936595558783304,48648852.0310083,243244.26015504153,-18.25411726481216,-92209.60461942265,2432.4426015504155,972.9770406201661,3405.4196421705815,220,9729770.40620166,9637560.801582238,False,1,-0.9477058632406079,3
13,EURUSD,News_Trading,SELL,2025-07-09 03:16:48.989130,2025-07-09 03:29:48.989130,10,London,0.6260152698495525,1.095488653136205,1.0819773595457083,48187804.00791119,385502.4320632895,-135.11293590496598,-481878.04007911193,2409.3902003955595,963.7560801582239,3373.1462805537835,13,9637560.801582238,9155682.761503126,False,1,-5.0,3
14,GBPUSD,Mean_Reversion,SELL,2025-07-09 03:32:48.989253,2025-07-09 05:12:48.989253,10,London,0.6324444774083209,1.278407143436487,1.2227676235166807,45778413.807515636,228892.06903757819,556.3951991980631,2542511.125559651,3662.2731046012514,915.5682761503128,4577.841380751564,100,9155682.761503126,11698193.887062777,True,1,27.769759959903155,4
15,USDCHF,News_Trading,BUY,2025-07-09 03:56:48.989390,2025-07-09 04:18:48.989390,11,London,0.7845792974229653,0.9988133654534692,1.0089911241975285,58490969.43531388,467927.7554825111,-101.77758744059179,-584909.6943531389,4094.367860471971,1169.8193887062778,5264.187249178249,22,11698193.887062777,11113284.192709638,False,1,-5.0,5
16,GBPUSD,Breakout_Momentum,BUY,2025-07-09 05:19:48.989541,2025-07-09 07:18:48.989541,12,Overlap,0.6765319735409371,1.2878700390161557,1.285357344571667,55566420.96354819,333398.52578128915,25.126944444885574,134064.79515886522,4445.3136770838555,1111.3284192709639,5556.642096354819,119,11113284.192709638,11247348.987868503,True,1,1.2063472222442786,6
17,USDCHF,Scalping_1M,BUY,2025-07-09 05:20:48.989671,2025-07-09 05:24:48.989671,12,Overlap,0.7839051392720545,1.0052878869861492,0.9940691423417095,22494697.975737005,112473.48987868502,-112.18744644439701,-254386.79526140442,1574.6288583015903,449.8939595147402,2024.5228178163304,4,11247348.987868503,10992962.1926071,False,1,-2.26174892888794,7
18,GBPUSD,Breakout_Momentum,BUY,2025-07-09 06:04:48.989787,2025-07-09 09:04:48.989787,13,Overlap,0.6938046944839915,1.2818190243487575,1.2805452314306671,54964810.963035494,329788.86577821296,-12.737929180903137,-75510.26804519101,4397.18487704284,1099.29621926071,5496.48109630355,180,10992962.1926071,10917451.924561908,False,1,-0.686896459045157,7
19,USDCHF,RSI_Extreme,BUY,2025-07-09 06:50:48.989911,2025-07-09 07:33:48.989911,13,Overlap,0.7711709756292243,1.0039985410793777,1.0195185040705441,43669807.698247634,218349.03849123817,155.1996299116649,673823.5166153185,3056.8865388773343,873.3961539649528,3930.282692842287,43,10917451.924561908,11591275.441177227,True,1,6.171985196466596,8
20,EURUSD,News_Trading,SELL,2025-07-09 07:28:48.990042,2025-07-09 07:52:48.990042,14,Overlap,0.6419356772605418,1.0904918880651118,1.0979406568011814,57956377.20588613,463651.0176470891,-74.48768736069489,-435760.596991467,2897.818860294307,1159.1275441177227,4056.9464044120296,24,11591275.441177227,11155514.84418576,False,1,-3.759384368034744,9
21,GBPUSD,Mean_Reversion,BUY,2025-07-09 07:45:48.990154,2025-07-09 10:47:48.990154,14,Overlap,0.722763250189041,1.294796934892794,1.2790986701787148,55777574.2209288,278887.87110464403,156.98264714079144,870033.3678072443,4462.205937674305,1115.5514844185761,5577.757422092881,182,11155514.84418576,12025548.211993005,True,1,7.799132357039573,10
22,GBPUSD,Scalping_1M,BUY,2025-07-09 09:24:48.990266,2025-07-09 09:26:48.990266,16,New_York,0.8853504453287084,1.275002397496999,1.2781954138387763,24051096.42398601,120255.48211993005,31.930163417772242,74390.43427704848,1924.087713918881,481.02192847972026,2405.1096423986014,2,12025548.211993005,12099938.646270053,True,1,0.6186032683554448,10
23,USDJPY,RSI_Extreme,SELL,2025-07-09 09:17:48.990365,2025-07-09 09:40:48.990365,16,New_York,0.9406950547716091,110.71153965099222,109.46317584361601,48399754.585080214,241998.77292540108,12483.63807376204,6049969.323135027,2903.9852751048124,967.9950917016043,3871.980366806417,23,12099938.646270053,18149907.96940508,True,1,50.0,10
24,EURUSD,Mean_Reversion,SELL,2025-07-09 09:22:48.990463,2025-07-09 16:06:48.990463,16,New_York,0.7701284276886642,1.0959909625393325,1.0810925112242766,90749539.84702541,453747.6992351271,-148.98451315055954,-907495.3984702541,4537.47699235127,1814.9907969405083,6352.467789291779,404,18149907.96940508,17242412.57093483,False,1,-5.0,11
25,USDJPY,RSI_Extreme,BUY,2025-07-09 10:36:48.990570,2025-07-09 11:23:48.990570,17,New_York,0.8006908396799205,110.79129991227981,110.73321223465437,68969650.28373931,344848.2514186966,-580.8767762543812,-862120.6285467414,4138.1790170243585,1379.3930056747863,5517.572022699145,47,17242412.57093483,16380291.942388088,False,1,-5.0,11
26,GBPUSD,Mean_Reversion,SELL,2025-07-09 10:59:48.990689,2025-07-09 17:25:48.990689,18,New_York,0.558836121179276,1.2943294891159332,1.2767849147825865,81901459.71194044,409507.29855970223,175.44574333346702,1428736.101954545,6552.116776955236,1638.029194238809,8190.145971194044,386,16380291.942388088,17809028.044342633,True,1,8.72228716667335,12
27,USDJPY,Mean_Reversion,BUY,2025-07-09 11:19:48.990797,2025-07-09 15:52:48.990797,18,New_York,0.7267667972353884,110.4951446659499,109.8848043913013,89045140.22171317,445225.70110856585,6103.402746485865,8904514.022171317,5342.70841330279,1780.9028044342635,7123.611217737054,273,17809028.044342633,26713542.06651395,True,1,50.0,12
28,EURUSD,Breakout_Momentum,BUY,2025-07-09 11:25:48.990924,2025-07-09 15:05:48.990924,18,New_York,0.7898913188756086,1.098069658077331,1.082227562117587,133567710.33256975,801406.2619954185,158.42095959744097,2106642.744488593,6678.3855166284875,2671.354206651395,9349.739723279883,220,26713542.06651395,28820184.81100254,True,1,7.886047979872049,12
29,EURUSD,RSI_Extreme,BUY,2025-07-09 11:20:48.991027,2025-07-09 13:16:48.991027,18,New_York,0.9196602623410988,1.0998125296705001,1.1014664029535632,115280739.24401017,576403.6962200508,-16.5387328306312,-198729.38643451527,5764.036962200508,2305.6147848802034,8069.651747080712,116,28820184.81100254,28621455.424568027,False,1,-0.689549313225248,13
30,EURUSD,Breakout_Momentum,SELL,2025-07-09 11:30:48.991125,2025-07-09 12:47:48.991125,18,New_York,0.7465511746566718,1.1134912842828095,1.0882801089475338,143107277.12284014,858643.6627370408,252.11175335275627,3597885.145899202,7155.3638561420075,2862.145542456803,10017.50939859881,77,28621455.424568027,32219340.57046723,True,1,12.570587667637811,14
31,GBPUSD,Breakout_Momentum,SELL,2025-07-09 12:28:48.991234,2025-07-09 13:01:48.991234,19,New_York,0.8016852311166638,1.3014459783195584,1.3178448008993493,161096702.85233614,966580.2171140169,163.98822579790968,2625686.577979532,12887.736228186892,3221.934057046723,16109.670285233615,33,32219340.57046723,34845027.14844676,True,1,8.149411289895482,14
32,USDCHF,Breakout_Momentum,BUY,2025-07-09 13:22:48.991335,2025-07-09 16:29:48.991335,20,After_Hours,0.820626356932604,0.9963984199143857,0.9858874153441883,174225135.7422338,1045350.8144534028,-105.11004570197372,-1742251.357422338,12195.759501956365,3484.5027148446766,15680.262216801042,187,34845027.14844676,33102775.791024424,False,1,-5.0,15
33,EURUSD,News_Trading,BUY,2025-07-09 12:53:48.991424,2025-07-09 13:03:48.991424,20,After_Hours,0.7448108217766554,1.1021326209005768,1.073337107997301,165513878.9551221,1324111.031640977,287.95512903275653,4754471.065596566,8275.693947756106,3310.2775791024424,11585.97152685855,10,33102775.791024424,37857246.85662099,True,1,14.362756451637829,16
34,GBPUSD,Scalping_1M,BUY,2025-07-09 12:55:48.991530,2025-07-09 12:57:48.991530,20,After_Hours,0.9307474724491187,1.289400496052704,1.266966224309332,75714493.71324198,378572.4685662099,224.3427174337182,1691028.0775033638,6057.159497059359,1514.2898742648397,7571.449371324198,2,37857246.85662099,39548274.93412435,True,1,4.466854348674365,16
35,USDJPY,RSI_Extreme,BUY,2025-07-09 13:47:48.991644,2025-07-09 15:00:48.991644,20,After_Hours,0.8566467497648274,110.90448414071264,108.43518166271984,158193099.7364974,790965.498682487,24693.024779927986,19774137.467062175,9491.585984189844,3163.8619947299485,12655.447978919792,73,39548274.93412435,59322412.401186526,True,1,50.0,16
36,USDJPY,News_Trading,BUY,2025-07-09 13:23:48.991732,2025-07-09 13:31:48.991732,20,After_Hours,0.7112209975198875,108.6717682204634,111.38289549082509,296612062.0059326,2372896.496047461,27111.272703616873,29661206.200593263,17796.723720355956,5932.241240118653,23728.96496047461,8,59322412.401186526,88983618.60177979,True,1,50.0,16
37,USDJPY,Scalping_1M,SELL,2025-07-09 14:00:48.991832,2025-07-09 14:02:48.991832,21,After_Hours,0.7391082480843667,110.35424663137272,110.37448765171,177967237.20355958,889836.1860177979,202.41020337283314,44491809.300889894,10678.034232213573,3559.344744071192,14237.378976284765,2,88983618.60177979,133475427.90266968,True,1,50.0,16
38,USDCHF,News_Trading,SELL,2025-07-09 14:48:48.991956,2025-07-09 14:59:48.991956,21,After_Hours,0.6703051987817074,0.9983919904810407,0.9992874232218346,667377139.5133485,5339017.116106788,-8.954327407939509,-657655.283733866,46716.39976593439,13347.54279026697,60063.94255620136,11,133475427.90266968,132817772.61893582,False,1,-0.49271637039697547,17
39,USDCHF,News_Trading,BUY,2025-07-09 14:06:48.992050,2025-07-09 14:15:48.992050,21,After_Hours,0.8999708222871199,0.9873088838953518,0.9814128617997366,664088863.0946791,5312710.904757433,-58.96022095615181,-3975250.607936714,46486.22041662753,13281.777261893583,59767.99767852112,9,132817772.61893582,128842522.01099911,False,1,-2.9930110478075904,17
40,AUDUSD,News_Trading,BUY,2025-07-09 14:38:48.992137,2025-07-09 14:50:48.992137,21,After_Hours,0.6189299988060222,0.974635614586365,1.0064744090878186,644212610.0549955,5153700.880439965,318.3879450145352,20440089.519679964,57979.1349049496,12884.252201099911,70863.38710604951,12,128842522.01099911,149282611.53067908,True,1,15.86439725072676,18
41,EURUSD,News_Trading,BUY,2025-07-09 15:36:48.992275,2025-07-09 15:42:48.992275,22,After_Hours,0.698300564928934,1.0990229226591923,1.08334399327509,746413057.6533954,5971304.461227163,156.78929384102395,11650708.708283799,37320.652882669776,14928.26115306791,52248.91403573769,6,149282611.53067908,160933320.2389629,True,1,7.804464692051198,18
42,EURUSD,News_Trading,BUY,2025-07-09 14:51:48.992417,2025-07-09 15:14:48.992417,22,After_Hours,0.6090157512657717,1.1056659851006485,1.1330492507122754,804666601.1948144,6437332.809558515,273.8326561162681,21978072.60723895,40233.33005974072,16093.33202389629,56326.66208363701,23,160933320.2389629,182911392.84620184,True,1,13.656632805813404,18
43,USDJPY,Mean_Reversion,BUY,2025-07-09 14:56:48.992528,2025-07-09 21:34:48.992528,22,After_Hours,0.6301972349485006,109.85001236605139,110.8696220263089,914556964.2310092,4572784.821155046,10196.096602575191,91455696.42310092,54873.41785386055,18291.139284620185,73164.55713848074,398,182911392.84620184,274367089.2693027,True,1,50.0,18
44,USDJPY,Scalping_1M,SELL,2025-07-09 16:58:48.992757,2025-07-09 17:00:48.992757,0,Asian,0.8058782264915584,109.81000578903232,109.8220278146439,548734178.5386055,2743670.8926930274,120.22025611580654,137183544.63465136,32924.050712316326,10974.68357077211,43898.73428308844,2,274367089.2693027,411550633.9039541,True,2,50.0,18
45,USDJPY,RSI_Extreme,SELL,2025-07-09 19:34:48.992903,2025-07-09 20:16:48.992903,2,Asian,0.8614100936027497,110.78033763090257,110.9990404459618,1646202535.6158164,8231012.678079082,2187.028150592275,205775316.95197704,98772.15213694898,32924.05071231633,131696.2028492653,42,411550633.9039541,617325950.8559312,True,2,50.0,18
46,USDJPY,News_Trading,SELL,2025-07-09 19:12:48.993018,2025-07-09 19:20:48.993018,2,Asian,0.7733253656809123,109.21131240672278,109.02155431860245,3086629754.279656,24693038.034237247,-1897.5808812032753,-30866297.54279656,185197.78525677935,61732.59508559312,246930.38034237246,8,617325950.8559312,586459653.3131346,False,2,-5.0,19
47,USDJPY,Breakout_Momentum,BUY,2025-07-09 21:51:48.993149,2025-07-09 23:17:48.993149,5,Asian,0.8409369792796568,107.43275536671473,106.19086693623994,2932298266.565673,17593789.599394035,12418.884304747844,293229826.6565673,175937.89599394036,58645.96533131346,234583.86132525382,86,586459653.3131346,879689479.9697018,True,2,50.0,20
48,USDJPY,Breakout_Momentum,BUY,2025-07-09 22:10:48.993264,2025-07-09 23:23:48.993264,5,Asian,0.6598881011931608,111.81989898937267,113.27919530504282,4398447399.848509,26390684.399091054,14592.963156701477,439844739.9848509,263906.8439909105,87968.94799697018,351875.7919878807,73,879689479.9697018,1319534219.9545527,True,2,50.0,20
49,USDJPY,Scalping_1M,SELL,2025-07-09 23:26:48.993382,2025-07-09 23:29:48.993382,6,Asian_Close,0.8462242005166273,109.4234786035646,110.26731799653419,2639068439.9091053,13195342.199545527,-8438.393929695827,-65976710.99772763,158344.1063945463,52781.36879818211,211125.47519272842,3,1319534219.9545527,1253557508.956825,False,2,-5.0,21
50,AUDUSD,News_Trading,SELL,2025-07-09 23:38:48.993498,2025-07-09 23:45:48.993498,6,Asian_Close,0.7443829286664763,1.01659906081719,1.047816366262229,6267787544.784125,50142300.358273,312.1730544503913,194973981.62021166,564100.8790305713,125355.75089568252,689456.6299262538,7,1253557508.956825,1448531490.5770366,True,2,15.553652722519566,22
51,USDJPY,News_Trading,SELL,2025-07-10 00:23:48.993628,2025-07-10 00:46:48.993628,7,Asian_Close,0.6392761900226,110.40862347995588,110.90758059259088,7242657452.885183,57941259.62308147,-4989.571126349922,-72426574.52885184,434559.44717311097,144853.14905770367,579412.5962308147,23,1448531490.5770366,1376104916.0481849,False,2,-5.0,23
52,USDJPY,News_Trading,BUY,2025-07-10 00:23:48.993758,2025-07-10 00:31:48.993758,7,Asian_Close,0.6821481773706733,109.1849631249882,107.83231122261483,6880524580.240925,55044196.6419274,13526.519023733705,688052458.0240924,412831.47481445543,137610.4916048185,550441.966419274,8,1376104916.0481849,2064157374.0722773,True,2,50.0,24
53,EURUSD,News_Trading,BUY,2025-07-10 01:44:48.993933,2025-07-10 02:00:48.993933,8,London,0.8196079128519664,1.0877135730805279,1.075344767877276,10320786870.361387,82566294.96289109,-123.68805203251745,-103207868.70361388,516039.34351806936,206415.73740722777,722455.0809252971,16,2064157374.0722773,1960949505.3686633,False,2,-5.0,25
54,GBPUSD,Scalping_1M,BUY,2025-07-10 01:31:48.994092,2025-07-10 01:34:48.994092,8,London,0.7817315876774344,1.2881406043111556,1.2373942902047002,3921899010.7373266,19609495.053686634,507.46314106455503,198629729.19159976,313751.92085898615,78437.98021474654,392189.9010737327,3,1960949505.3686633,2159579234.560263,True,2,10.1292628212911,26
55,GBPUSD,Breakout_Momentum,BUY,2025-07-10 01:08:48.994202,2025-07-10 04:59:48.994202,8,London,0.8313274700359898,1.3181314953698986,1.3216071758472205,10797896172.801315,64787377.036807895,34.75680477322003,36450247.306675375,863831.6938241053,215957.92345602633,1079789.6172801317,231,2159579234.560263,2196029481.8669386,True,2,1.6878402386610016,26
56,EURUSD,Scalping_1M,BUY,2025-07-10 02:48:48.994313,2025-07-10 02:50:48.994313,9,London,0.7749499844251689,1.110818537513547,1.1112875727306952,4392058963.733877,21960294.818669386,4.690352171480922,1752586.2023207722,219602.94818669386,87841.17927467755,307444.1274613714,2,2196029481.8669386,2197782068.069259,True,2,0.07980704342961843,26
57,GBPUSD,Mean_Reversion,BUY,2025-07-10 04:50:48.994439,2025-07-10 08:07:48.994439,11,London,0.7420875555193898,1.2987268602626496,1.3408130410530876,10988910340.346296,54944551.70173148,-420.8618079043792,-109889103.40346296,879112.8272277038,219778.20680692594,1098891.0340346298,197,2197782068.069259,2087892964.6657963,False,2,-5.0,27
58,EURUSD,Breakout_Momentum,SELL,2025-07-10 05:49:48.994554,2025-07-10 07:52:48.994554,12,Overlap,0.8299474194270818,1.0990368898916594,1.0967321486734936,10439464823.328981,62636788.93997388,23.047412181658068,23329502.336285297,521973.2411664491,208789.29646657963,730762.5376330287,123,2087892964.6657963,2111222467.0020816,True,2,1.1173706090829034,28
